h3_index,resolution,moku_id,moku_name,island
87464b965ffffff,7,oahu-kona,Kona,oahu
8746494a0ffffff,7,oahu-kona,Kona,oahu
87464b962ffffff,7,oahu-kona,Kona,oahu
87464b96cffffff,7,oahu-kona,Kona,oahu
87464959effffff,7,oahu-kona,Kona,oahu
874649591ffffff,7,oahu-kona,Kona,oahu
8746494b4ffffff,7,oahu-kona,Kona,oahu
87464b969ffffff,7,oahu-kona,Kona,oahu
87464959bffffff,7,oahu-kona,Kona,oahu
8746494b1ffffff,7,oahu-kona,Kona,oahu
875d144a4ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d144b6ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d1696dffffff,7,maui-kaanapali,Kāʻanapali,maui
875d144a2ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d144b4ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d1459bffffff,7,maui-kaanapali,Kāʻanapali,maui
875d1696bffffff,7,maui-kaanapali,Kāʻanapali,maui
875d144a0ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d144b2ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d14599ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d16969ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d1694cffffff,7,maui-kaanapali,Kāʻanapali,maui
875d144b0ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d1459effffff,7,maui-kaanapali,Kāʻanapali,maui
875d144a3ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d144b5ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d14486ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d144b3ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d1459affffff,7,maui-kaanapali,Kāʻanapali,maui
875d1694dffffff,7,maui-kaanapali,Kāʻanapali,maui
875d144b1ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d14598ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d16968ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d144a6ffffff,7,maui-kaanapali,Kāʻanapali,maui
875d16831ffffff,7,lanai-lahaina,Lāhainā,lanai
875d168a8ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16985ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16803ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16814ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16836ffffff,7,lanai-lahaina,Lāhainā,lanai
875d168adffffff,7,lanai-lahaina,Lāhainā,lanai
875d1698affffff,7,lanai-lahaina,Lāhainā,lanai
875d16819ffffff,7,lanai-lahaina,Lāhainā,lanai
875d168a1ffffff,7,lanai-lahaina,Lāhainā,lanai
875d1681effffff,7,lanai-lahaina,Lāhainā,lanai
875d16983ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16801ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16812ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16834ffffff,7,lanai-lahaina,Lāhainā,lanai
875d168abffffff,7,lanai-lahaina,Lāhainā,lanai
875d16988ffffff,7,lanai-lahaina,Lāhainā,lanai
875d169aaffffff,7,lanai-lahaina,Lāhainā,lanai
875d16806ffffff,7,lanai-lahaina,Lāhainā,lanai
875d168f4ffffff,7,lanai-lahaina,Lāhainā,lanai
875d1698dffffff,7,lanai-lahaina,Lāhainā,lanai
875d1681cffffff,7,lanai-lahaina,Lāhainā,lanai
875d168a4ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16981ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16810ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16832ffffff,7,lanai-lahaina,Lāhainā,lanai
875d168a9ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16986ffffff,7,lanai-lahaina,Lāhainā,lanai
875d169a8ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16804ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16815ffffff,7,lanai-lahaina,Lāhainā,lanai
875d168aeffffff,7,lanai-lahaina,Lāhainā,lanai
875d1698bffffff,7,lanai-lahaina,Lāhainā,lanai
875d1681affffff,7,lanai-lahaina,Lāhainā,lanai
875d1680effffff,7,lanai-lahaina,Lāhainā,lanai
875d16830ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16885ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16984ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16802ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16813ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16835ffffff,7,lanai-lahaina,Lāhainā,lanai
875d168acffffff,7,lanai-lahaina,Lāhainā,lanai
875d16989ffffff,7,lanai-lahaina,Lāhainā,lanai
875d169abffffff,7,lanai-lahaina,Lāhainā,lanai
875d16818ffffff,7,lanai-lahaina,Lāhainā,lanai
875d168a0ffffff,7,lanai-lahaina,Lāhainā,lanai
875d1698effffff,7,lanai-lahaina,Lāhainā,lanai
875d1681dffffff,7,lanai-lahaina,Lāhainā,lanai
875d168a5ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16982ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16800ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16811ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16833ffffff,7,lanai-lahaina,Lāhainā,lanai
875d168aaffffff,7,lanai-lahaina,Lāhainā,lanai
875d169a9ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16816ffffff,7,lanai-lahaina,Lāhainā,lanai
875d1698cffffff,7,lanai-lahaina,Lāhainā,lanai
875d169aeffffff,7,lanai-lahaina,Lāhainā,lanai
875d1680affffff,7,lanai-lahaina,Lāhainā,lanai
875d1681bffffff,7,lanai-lahaina,Lāhainā,lanai
875d168a3ffffff,7,lanai-lahaina,Lāhainā,lanai
875d16980ffffff,7,lanai-lahaina,Lāhainā,lanai
87464e199ffffff,7,kauai-kona,Kona,kauai
87464e765ffffff,7,kauai-kona,Kona,kauai
87464e096ffffff,7,kauai-kona,Kona,kauai
87464e0d5ffffff,7,kauai-kona,Kona,kauai
87464e0b0ffffff,7,kauai-kona,Kona,kauai
87464e08bffffff,7,kauai-kona,Kona,kauai
87464e774ffffff,7,kauai-kona,Kona,kauai
87464e0caffffff,7,kauai-kona,Kona,kauai
87464e0a5ffffff,7,kauai-kona,Kona,kauai
87464e72affffff,7,kauai-kona,Kona,kauai
87464e080ffffff,7,kauai-kona,Kona,kauai
87464e705ffffff,7,kauai-kona,Kona,kauai
87464e011ffffff,7,kauai-kona,Kona,kauai
87464e549ffffff,7,kauai-kona,Kona,kauai
87464e09affffff,7,kauai-kona,Kona,kauai
87464e0d9ffffff,7,kauai-kona,Kona,kauai
87464e0b4ffffff,7,kauai-kona,Kona,kauai
87464e0f3ffffff,7,kauai-kona,Kona,kauai
87464e0a9ffffff,7,kauai-kona,Kona,kauai
87464e72effffff,7,kauai-kona,Kona,kauai
87464e084ffffff,7,kauai-kona,Kona,kauai
87464e0c3ffffff,7,kauai-kona,Kona,kauai
87464e09effffff,7,kauai-kona,Kona,kauai
87464e723ffffff,7,kauai-kona,Kona,kauai
87464e0ddffffff,7,kauai-kona,Kona,kauai
87464e762ffffff,7,kauai-kona,Kona,kauai
87464e093ffffff,7,kauai-kona,Kona,kauai
87464e0d2ffffff,7,kauai-kona,Kona,kauai
87464e0adffffff,7,kauai-kona,Kona,kauai
87464e088ffffff,7,kauai-kona,Kona,kauai
87464e0a2ffffff,7,kauai-kona,Kona,kauai
87464e766ffffff,7,kauai-kona,Kona,kauai
87464e0d6ffffff,7,kauai-kona,Kona,kauai
87464e0b1ffffff,7,kauai-kona,Kona,kauai
87464e08cffffff,7,kauai-kona,Kona,kauai
87464e0f0ffffff,7,kauai-kona,Kona,kauai
87464e775ffffff,7,kauai-kona,Kona,kauai
87464e0a6ffffff,7,kauai-kona,Kona,kauai
87464e72bffffff,7,kauai-kona,Kona,kauai
87464e081ffffff,7,kauai-kona,Kona,kauai
87464e012ffffff,7,kauai-kona,Kona,kauai
87464e0c0ffffff,7,kauai-kona,Kona,kauai
87464e09bffffff,7,kauai-kona,Kona,kauai
87464e720ffffff,7,kauai-kona,Kona,kauai
87464e46cffffff,7,kauai-kona,Kona,kauai
