"h3_cell","codes","primary_code","version","data_source","provenance"
"88464820ddfffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"88464820e1fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"88464820e3fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"88464820e5fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"88464820e7fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"88464820e9fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"88464820ebfffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"88464820edfffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482101fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482103fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482105fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482107fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482109fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648210bfffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648210dfffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482111fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482113fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482115fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482117fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482119fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648211bfffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648211dfffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482121fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482123fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482125fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482127fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482129fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648212bfffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648212dfffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482131fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482133fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482135fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482137fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482139fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648213bfffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648213dfffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482141fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482143fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482145fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482147fffff","A","A","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
