objectid,fid_hi_wetlands,attribute,acres,wetland_type,status
375,815,PFO3C,3.49612667,"Freshwater Forested/Shrub Wetland",Digital
376,816,PFO3C,0.56086903,"Freshwater Forested/Shrub Wetland",Digital
377,817,PFO3C,0.20866266,"Freshwater Forested/Shrub Wetland",Digital
378,818,PFO3C,2.71013845,"Freshwater Forested/Shrub Wetland",Digital
379,819,PFO3C,0.54515447,"Freshwater Forested/Shrub Wetland",Digital
380,820,PFO3C,0.70098951,"Freshwater Forested/Shrub Wetland",Digital
381,821,PFO3C,8.9370869,"Freshwater Forested/Shrub Wetland",Digital
382,822,PFO3C,2.07604964,"Freshwater Forested/Shrub Wetland",Digital
383,823,PFO3C,0.43716272,"Freshwater Forested/Shrub Wetland",Digital
384,824,PFO3C,0.35089932,"Freshwater Forested/Shrub Wetland",Digital
385,825,PFO3C,0.00006897,"Freshwater Forested/Shrub Wetland",Digital
386,826,PFO3C,0.69004036,"Freshwater Forested/Shrub Wetland",Digital
387,827,PFO3Cx,0.0197814,"Freshwater Forested/Shrub Wetland",Digital
388,828,PSS3A,0.98957216,"Freshwater Forested/Shrub Wetland",Digital
389,829,PSS3C,1.04428158,"Freshwater Forested/Shrub Wetland",Digital
390,830,PSS3C,0.18736999,"Freshwater Forested/Shrub Wetland",Digital
391,831,PSS3C,0.29483045,"Freshwater Forested/Shrub Wetland",Digital
392,832,PSS3C,0.46733818,"Freshwater Forested/Shrub Wetland",Digital
393,833,PSS3C,0.02128505,"Freshwater Forested/Shrub Wetland",Digital
394,834,PSS3C,0.03852341,"Freshwater Forested/Shrub Wetland",Digital
395,835,PSS3C,0.459036,"Freshwater Forested/Shrub Wetland",Digital
396,836,PSS3C,0.24022704,"Freshwater Forested/Shrub Wetland",Digital
