objectid,zone_class,zoning_des,zoning_lab,loaddate,st_areashape,st_perimetershape
203,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,11605.3771855231,438.573193046017
204,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,4178.25882670721,265.3453407532
205,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,20381.8865731629,573.499063073291
206,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,17020.0397752443,645.774292394118
207,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,6066.16764379604,444.332690500367
208,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,230098.54333573,2497.93143774312
209,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,6452.55405464985,319.160395101904
210,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,20874.3559152779,573.116984859303
211,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,43989.1772401527,1268.56509452991
212,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,82939.9090924135,1199.60637473207
213,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,1637.92387816016,168.652990724543
214,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,3554.62459626866,249.432941900272
215,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,21382.8958641308,710.893735430825
216,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,3757.86056608979,263.98367781855
217,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,58711.7108651207,1107.39223019299
218,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,58448.829449703,1035.51573106742
219,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,28989.9566012773,822.769002018326
220,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,20423.6588747271,660.682482911738
221,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,13743.9508965446,557.895157856726
222,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,54467.5628767446,1074.08349112086
223,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,162325.53250939,2247.60959563383
224,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,20373.4916258449,568.01558624174
225,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,1443046.69645785,10776.7137829504
226,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,226067.565552582,2946.64901202012
227,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,14144.8887556623,508.47762884952
228,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,6757.26941984442,368.813059567537
229,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,8307.68834770259,418.69543587854
230,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,18522.2852158282,729.979411914892
231,A-2,A-2 Medium-density Apartment District,A-2,2023/09/15 00:00:00+00,16641.3080891721,561.47761116023
